gate,param_1,param_2,param_3
RX,15.70989327341467,29.5230665326707,0.7499810441330634
RY,7.8787724942614235,22.001319411513432,1.098524473819202
RX,15.70989327341467,29.5230665326707,0.7499810441330634
RY,7.8787724942614235,22.001319411513432,1.098524473819202
RX,15.70989327341467,29.5230665326707,0.7499810441330634
RX,15.70989327341467,29.5230665326707,0.7499810441330634
RY,7.8787724942614235,22.001319411513432,1.098524473819202
RX,15.70989327341467,29.5230665326707,0.7499810441330634
RY,7.8787724942614235,22.001319411513432,1.098524473819202
RX,15.70989327341467,29.5230665326707,0.7499810441330634
RX,15.70989327341467,29.5230665326707,0.7499810441330634
RX,15.70989327341467,29.5230665326707,0.7499810441330634
RX,15.70989327341467,29.5230665326707,0.7499810441330634
RX,15.70989327341467,29.5230665326707,0.7499810441330634
RX,15.70989327341467,29.5230665326707,0.7499810441330634
RX,15.70989327341467,29.5230665326707,0.7499810441330634
RX,15.709893273503827,29.52306653174729,0.749981044152588
RX,15.709893273503827,29.52306653174729,0.749981044152588
RX,15.709893273503827,29.52306653174729,0.749981044152588
RX,15.709893273503827,29.52306653174729,0.749981044152588
RX,15.709893273503827,29.52306653174729,0.749981044152588
RY,7.8787724942614235,22.001319411513432,1.098524473819202
RY,7.8787724942614235,22.001319411513432,1.098524473819202
RY,7.89289770110187,21.944331872096154,0.89904716650661
RY,7.89289770110187,21.944331872096154,0.89904716650661
RX,15.709893273503827,29.52306653174729,0.749981044152588
RX,15.709893273503827,29.52306653174729,0.749981044152588
RX,15.709893273503827,29.52306653174729,0.749981044152588
RY,7.89289770110187,21.944331872096154,0.89904716650661
RX,15.709893273503827,29.52306653174729,0.749981044152588
RY,7.89289770110187,21.944331872096154,0.89904716650661
RX,15.709893273503827,29.52306653174729,0.749981044152588
RY,7.89289770110187,21.944331872096154,0.89904716650661
H,0.9999964594814472,15.000000472128004,0.9999964594814472,1.0000000000000007
H,0.9999964594814472,15.000000472128004,0.9999964594814472,1.0000000000000007
H,0.9999964594814472,15.000000472128004,0.9999964594814472,1.0000000000000007
H,0.9999964594814472,15.000000472128004,0.9999964594814472,1.0000000000000007
H,0.9999957416841263,15.000000567880354,0.9999957416841263,1.0000000000000007
H,0.9856277091847964,15.001861231276662,0.9856277091847963,9.999999999999998
H,9.96639821806993,1.4667523453725277,0.6333395905791606,1.0007601137335331
H,1.0000563529596853,14.99999248553659,1.0000563529596853,0.9999981322875569
H,0.9999941460757528,15.000000780746152,0.9999941460757528,1.0000000000000009
RX,15.709893273503827,29.52306653174729,0.749981044152588
RY,7.89289770110187,21.944331872096154,0.89904716650661
RX,15.709893273503827,29.52306653174729,0.749981044152588
RY,7.89289770110187,21.944331872096154,0.89904716650661
H,0.999997803586563,15.000000292866039,0.999997803586563,1.0000000000000004
RX,15.709893273503827,29.52306653174729,0.749981044152588
RY,7.89289770110187,21.944331872096154,0.89904716650661
H,0.999997803586563,15.000000292866039,0.999997803586563,1.0000000000000004
H,7.857992398977854,21.572701026008765,0.9000668764548863
RX,15.709893273503827,29.52306653174729,0.749981044152588
RY,7.89289770110187,21.944331872096154,0.89904716650661
H,7.857992398977854,21.572701026008765,0.9000668764548863
RX,15.709893273503827,29.52306653174729,0.749981044152588
RY,7.89289770110187,21.944331872096154,0.89904716650661
H,7.857992398977854,21.572701026008765,0.9000668764548863
RX,15.709893273503827,29.52306653174729,0.749981044152588
RY,7.89289770110187,21.944331872096154,0.89904716650661
H,7.857992398977854,21.572701026008765,0.9000668764548863
RX,15.709893273503827,29.52306653174729,0.749981044152588
RY,7.89289770110187,21.944331872096154,0.89904716650661
RX,15.709893273503827,29.52306653174729,0.749981044152588
RY,7.89289770110187,21.944331872096154,0.89904716650661
H,7.857992398977854,21.572701026008765,0.9000668764548863
RX,15.709893273503827,29.52306653174729,0.749981044152588
RX,15.709893273503827,29.52306653174729,0.749981044152588
H,7.857992398977854,21.572701026008765,0.9000668764548863
RX,15.709893273503827,29.52306653174729,0.749981044152588
RY,7.89289770110187,21.944331872096154,0.89904716650661
H,7.857992398977854,21.572701026008765,0.9000668764548863
RX,15.709893273503827,29.52306653174729,0.749981044152588
RY,7.89289770110187,21.944331872096154,0.89904716650661
H,7.857992398977854,21.572701026008765,0.9000668764548863
RX,15.709893273503827,29.52306653174729,0.749981044152588
RY,7.89289770110187,21.944331872096154,0.89904716650661
H,7.857992398977854,21.572701026008765,0.9000668764548863
